Gene_ID	COG_ID	COG_term	GO	Pfam_ID	Pfam_term	SwissProt_ID	SwissProt_term
fake_2M_genome_001352	-	-	-	A0A094JNF2_9BACL/36-260	A0A094JNF2_9BACL/36-260 A0A094JNF2.1 PF10977.7;DUF2797;	-	-
fake_2M_genome_001353	-	-	-	-	-	-	-
fake_2M_genome_001354	gi|220918516|ref|YP_002493820.1|	gi|220918516|ref|YP_002493820.1| hypothetical protein A2cp1_3424 [Anaeromyxobacter dehalogenans 2CP-1]	GO:0016020(membrane);GO:0016020(membrane);GO:0016021(integral component of membrane)	A0A0P9I3A2_9ARCH/7-283	A0A0P9I3A2_9ARCH/7-283 A0A0P9I3A2.1 PF01972.15;SDH_sah;	sp|Q57601|Y137_METJA	sp|Q57601|Y137_METJA Uncharacterized protein MJ0137 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=MJ0137 PE=4 SV=1
fake_2M_genome_001355	gi|337751594|ref|YP_004645756.1|	gi|337751594|ref|YP_004645756.1| hypothetical protein KNP414_07379 [Paenibacillus mucilaginosus KNP414]	GO:0005737(cytoplasm);GO:0045892(negative regulation of transcription, DNA-templated);GO:0000976(transcription regulatory region sequence-specific DNA binding);GO:0003677(DNA binding);GO:0003677(DNA binding)	A0A094JTV8_9BACL/24-103	A0A094JTV8_9BACL/24-103 A0A094JTV8.1 PF02583.16;Trns_repr_metal;	sp|O32222|CSOR_BACSU	sp|O32222|CSOR_BACSU Copper-sensing transcriptional repressor CsoR OS=Bacillus subtilis (strain 168) GN=csoR PE=1 SV=1
fake_2M_genome_001356	gi|337746768|ref|YP_004640930.1|	gi|337746768|ref|YP_004640930.1| hypothetical protein KNP414_02499 [Paenibacillus mucilaginosus KNP414]	-	A0A094M1P0_9BACL/31-171	A0A094M1P0_9BACL/31-171 A0A094M1P0.1 PF00561.19;Abhydrolase_1;	-	-
fake_2M_genome_001357	gi|410667915|ref|YP_006920286.1|	gi|410667915|ref|YP_006920286.1| vitamin B12 ABC transporter substrate-binding protein BtuF [Thermacetogenium phaeum DSM 12270]	GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094JQL6_9BACL/68-289	A0A094JQL6_9BACL/68-289 A0A094JQL6.1 PF01497.17;Peripla_BP_2;	sp|O34805|YVRC_BACSU	sp|O34805|YVRC_BACSU Uncharacterized ABC transporter substrate-binding lipoprotein YvrC OS=Bacillus subtilis (strain 168) GN=yvrC PE=3 SV=1
fake_2M_genome_001358	gi|89894831|ref|YP_518318.1|	gi|89894831|ref|YP_518318.1| permease component of ABC-type cobalamin/Fe3+-siderophores transport systems [Desulfitobacterium hafniense Y51]	GO:0005215(transporter activity);GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094K9R4_9BACL/12-333	A0A094K9R4_9BACL/12-333 A0A094K9R4.1 PF01032.17;FecCD;	sp|O34451|YVRB_BACSU	sp|O34451|YVRB_BACSU Uncharacterized ABC transporter permease protein YvrB OS=Bacillus subtilis (strain 168) GN=yvrB PE=3 SV=1
fake_2M_genome_001359	gi|337751022|ref|YP_004645184.1|	gi|337751022|ref|YP_004645184.1| ABC transporter ATP-binding protein [Paenibacillus mucilaginosus KNP414]	GO:0000166(nucleotide binding);GO:0005524(ATP binding);GO:0005886(plasma membrane)	A0A094JNE9_9BACL/17-166	A0A094JNE9_9BACL/17-166 A0A094JNE9.1 PF00005.26;ABC_tran;	sp|Q7NN36|HMUV_GLOVI	sp|Q7NN36|HMUV_GLOVI Hemin import ATP-binding protein HmuV OS=Gloeobacter violaceus (strain PCC 7421) GN=hmuV PE=3 SV=1
fake_2M_genome_001360	gi|337751016|ref|YP_004645178.1|	gi|337751016|ref|YP_004645178.1| hypothetical protein KNP414_06789 [Paenibacillus mucilaginosus KNP414]	GO:0009236(cobalamin biosynthetic process);GO:0000166(nucleotide binding);GO:0005737(cytoplasm);GO:0008817(cob(I)yrinic acid a,c-diamide adenosyltransferase activity)	A0A094JTV4_9BACL/3-166	A0A094JTV4_9BACL/3-166 A0A094JTV4.1 PF01923.17;Cob_adeno_trans;	sp|O34899|PDUO_BACSU	sp|O34899|PDUO_BACSU Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Bacillus subtilis (strain 168) GN=yvqK PE=1 SV=2
fake_2M_genome_001361	gi|16080333|ref|NP_391160.1|	gi|16080333|ref|NP_391160.1| hypothetical protein BSU32810 [Bacillus subtilis subsp. subtilis str. 168]	GO:0016491(oxidoreductase activity)	A0A094M1N7_9BACL/6-116	A0A094M1N7_9BACL/6-116 A0A094M1N7.1 PF03960.14;ArsC;	sp|O32175|YUSI_BACSU	sp|O32175|YUSI_BACSU Uncharacterized protein YusI OS=Bacillus subtilis (strain 168) GN=yusI PE=3 SV=1
fake_2M_genome_001362	gi|226314451|ref|YP_002774347.1|	gi|226314451|ref|YP_002774347.1| thiol-disulfide oxidoreductase [Brevibacillus brevis NBRC 100599]	GO:0098869(cellular oxidant detoxification);GO:0005737(cytoplasm);GO:0005737(cytoplasm);GO:0016209(antioxidant activity)	A0A094JQL4_9BACL/4-124	A0A094JQL4_9BACL/4-124 A0A094JQL4.1 PF00578.20;AhpC-TSA;	sp|O31699|YKUV_BACSU	sp|O31699|YKUV_BACSU Thiol-disulfide oxidoreductase YkuV OS=Bacillus subtilis (strain 168) GN=ykuV PE=1 SV=2
fake_2M_genome_001363	gi|23099843|ref|NP_693309.1|	gi|23099843|ref|NP_693309.1| glycine cleavage system protein H [Oceanobacillus iheyensis HTE831]	GO:0005960(glycine cleavage complex)	A0A094K9R0_9BACL/7-128	A0A094K9R0_9BACL/7-128 A0A094K9R0.1 PF01597.18;GCV_H;	sp|Q65F75|GCSH_BACLD	sp|Q65F75|GCSH_BACLD Glycine cleavage system H protein OS=Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46) GN=gcvH PE=3 SV=1
fake_2M_genome_001364	-	-	-	-	-	-	-
fake_2M_genome_001365	gi|212638596|ref|YP_002315116.1|	gi|212638596|ref|YP_002315116.1| uridine kinase [Anoxybacillus flavithermus WK1]	GO:0005737(cytoplasm);GO:0044206(UMP salvage);GO:0000166(nucleotide binding);GO:0004849(uridine kinase activity);GO:0004849(uridine kinase activity)	A0A094JTU8_9BACL/7-192	A0A094JTU8_9BACL/7-192 A0A094JTU8.1 PF00485.17;PRK;	sp|B7GIU0|URK_ANOFW	sp|B7GIU0|URK_ANOFW Uridine kinase OS=Anoxybacillus flavithermus (strain DSM 21510 / WK1) GN=udk PE=3 SV=1
fake_2M_genome_001366	gi|212638262|ref|YP_002314782.1|	gi|212638262|ref|YP_002314782.1| phosphoenolpyruvate carboxykinase [Anoxybacillus flavithermus WK1]	GO:0005737(cytoplasm);GO:0006094(gluconeogenesis);GO:0000166(nucleotide binding);GO:0004611(phosphoenolpyruvate carboxykinase activity);GO:0004612(phosphoenolpyruvate carboxykinase (ATP) activity)	A0A094M1N4_9BACL/17-479	A0A094M1N4_9BACL/17-479 A0A094M1N4.1 PF01293.19;PEPCK_ATP;	sp|Q5KW01|PCKA_GEOKA	sp|Q5KW01|PCKA_GEOKA Phosphoenolpyruvate carboxykinase (ATP) OS=Geobacillus kaustophilus (strain HTA426) GN=pckA PE=3 SV=1
fake_2M_genome_001367	gi|226314534|ref|YP_002774430.1|	gi|226314534|ref|YP_002774430.1| hypothetical protein BBR47_49490 [Brevibacillus brevis NBRC 100599]	GO:0003676(nucleic acid binding)	A0A094JQL0_9BACL/3-75	A0A094JQL0_9BACL/3-75 A0A094JQL0.1 PF00575.22;S1;	sp|P37560|YABR_BACSU	sp|P37560|YABR_BACSU Uncharacterized protein YabR OS=Bacillus subtilis (strain 168) GN=yabR PE=3 SV=1
fake_2M_genome_001368	gi|337745019|ref|YP_004639181.1|	gi|337745019|ref|YP_004639181.1| hypothetical protein KNP414_00721 [Paenibacillus mucilaginosus KNP414]	GO:0008168(methyltransferase activity)	A0A094K9Q6_9BACL/48-188	A0A094K9Q6_9BACL/48-188 A0A094K9Q6.1 PF06962.11;rRNA_methylase;	sp|O34614|YTQB_BACSU	sp|O34614|YTQB_BACSU Putative rRNA methylase YtqB OS=Bacillus subtilis (strain 168) GN=ytqB PE=3 SV=1
fake_2M_genome_001369	gi|226311675|ref|YP_002771569.1|	gi|226311675|ref|YP_002771569.1| hypothetical protein BBR47_20880 [Brevibacillus brevis NBRC 100599]	GO:0003824(catalytic activity);GO:0005737(cytoplasm);GO:0046872(metal ion binding)	A0A0N0HAR6_THEVU/45-219	A0A0N0HAR6_THEVU/45-219 A0A0N0HAR6.1 PF04055.20;Radical_SAM;	sp|O35008|YTQA_BACSU	sp|O35008|YTQA_BACSU Uncharacterized protein YtqA OS=Bacillus subtilis (strain 168) GN=ytqA PE=3 SV=1
fake_2M_genome_001370	gi|23100582|ref|NP_694049.1|	gi|23100582|ref|NP_694049.1| hypothetical protein OB3127 [Oceanobacillus iheyensis HTE831]	GO:0016787(hydrolase activity);GO:0016787(hydrolase activity)	A0A094JNE0_9BACL/5-279	A0A094JNE0_9BACL/5-279 A0A094JNE0.1 PF08282.11;Hydrolase_3;	sp|P94592|YWPJ_BACSU	sp|P94592|YWPJ_BACSU Phosphatase YwpJ OS=Bacillus subtilis (strain 168) GN=ywpJ PE=1 SV=2
fake_2M_genome_001371	gi|295694981|ref|YP_003588219.1|	gi|295694981|ref|YP_003588219.1| hypothetical protein [Kyrpidia tusciae DSM 2912]	GO:0005886(plasma membrane);GO:0005886(plasma membrane);GO:0016614(oxidoreductase activity, acting on CH-OH group of donors)	A0A094JTU3_9BACL/10-192	A0A094JTU3_9BACL/10-192 A0A094JTU3.1 PF01595.19;DUF21;	sp|O05241|YUGS_BACSU	sp|O05241|YUGS_BACSU UPF0053 protein YugS OS=Bacillus subtilis (strain 168) GN=yugS PE=3 SV=2
fake_2M_genome_001372	gi|337750578|ref|YP_004644740.1|	gi|337750578|ref|YP_004644740.1| protein PdhA [Paenibacillus mucilaginosus KNP414]	GO:0006096(glycolytic process);GO:0008152(metabolic process);GO:0004739(pyruvate dehydrogenase (acetyl-transferring) activity);GO:0005515(protein binding);GO:0005515(protein binding)	A0A094M1N1_9BACL/50-341	A0A094M1N1_9BACL/50-341 A0A094M1N1.1 PF00676.19;E1_dh;	sp|P21873|ODPA_GEOSE	sp|P21873|ODPA_GEOSE Pyruvate dehydrogenase E1 component subunit alpha OS=Geobacillus stearothermophilus GN=pdhA PE=1 SV=2
fake_2M_genome_001373	gi|337750577|ref|YP_004644739.1|	gi|337750577|ref|YP_004644739.1| protein PdhB [Paenibacillus mucilaginosus KNP414]	GO:0005515(protein binding);GO:0006096(glycolytic process);GO:0003824(catalytic activity);GO:0004739(pyruvate dehydrogenase (acetyl-transferring) activity);GO:0005515(protein binding)	A0A094JQK9_9BACL/2-180	A0A094JQK9_9BACL/2-180 A0A094JQK9.1 PF02779.23;Transket_pyr;	sp|P21874|ODPB_GEOSE	sp|P21874|ODPB_GEOSE Pyruvate dehydrogenase E1 component subunit beta OS=Geobacillus stearothermophilus GN=pdhB PE=1 SV=2
fake_2M_genome_001374	gi|15615216|ref|NP_243519.1|	gi|15615216|ref|NP_243519.1| branched-chain alpha-keto acid dehydrogenase subunit E2 [Bacillus halodurans C-125]	GO:0006096(glycolytic process);GO:0008152(metabolic process);GO:0004742(dihydrolipoyllysine-residue acetyltransferase activity);GO:0005515(protein binding);GO:0005515(protein binding)	A0A094K9Q2_9BACL/189-420	A0A094K9Q2_9BACL/189-420 A0A094K9Q2.1 PF00198.22;2-oxoacid_dh;	sp|P11961|ODP2_GEOSE	sp|P11961|ODP2_GEOSE Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Geobacillus stearothermophilus GN=pdhC PE=1 SV=3
fake_2M_genome_001375	gi|15615215|ref|NP_243518.1|	gi|15615215|ref|NP_243518.1| dihydrolipoamide dehydrogenase [Bacillus halodurans C-125]	GO:0005515(protein binding);GO:0005737(cytoplasm);GO:0005737(cytoplasm);GO:0022900(electron transport chain);GO:0004148(dihydrolipoyl dehydrogenase activity);GO:0004148(dihydrolipoyl dehydrogenase activity);GO:0005515(protein binding)	A0A094JND5_9BACL/10-331	A0A094JND5_9BACL/10-331 A0A094JND5.1 PF07992.13;Pyr_redox_2;	sp|P11959|DLDH1_GEOSE	sp|P11959|DLDH1_GEOSE Dihydrolipoyl dehydrogenase OS=Geobacillus stearothermophilus GN=pdhD PE=1 SV=2
fake_2M_genome_001376	-	-	-	-	-	-	-
fake_2M_genome_001377	gi|295697009|ref|YP_003590247.1|	gi|295697009|ref|YP_003590247.1| thioesterase superfamily protein [Kyrpidia tusciae DSM 2912]	GO:0006635(fatty acid beta-oxidation);GO:0016787(hydrolase activity);GO:0016787(hydrolase activity)	A0A094M1M9_9BACL/9-129	A0A094M1M9_9BACL/9-129 A0A094M1M9.1 PF13279.5;4HBT_2;	sp|P77712|FADM_ECOLI	sp|P77712|FADM_ECOLI Long-chain acyl-CoA thioesterase FadM OS=Escherichia coli (strain K12) GN=fadM PE=1 SV=1
fake_2M_genome_001378	gi|386714303|ref|YP_006180626.1|	gi|386714303|ref|YP_006180626.1| hypothetical protein HBHAL_3005 [Halobacillus halophilus DSM 2266]	-	A0A094JQK4_9BACL/4-74	A0A094JQK4_9BACL/4-74 A0A094JQK4.1 PF06569.10;DUF1128;	sp|Q8ER04|Y1527_OCEIH	sp|Q8ER04|Y1527_OCEIH UPF0435 protein OB1527 OS=Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831) GN=OB1527 PE=3 SV=1
fake_2M_genome_001379	gi|337745910|ref|YP_004640072.1|	gi|337745910|ref|YP_004640072.1| hypothetical protein KNP414_01639 [Paenibacillus mucilaginosus KNP414]	-	A0A094K9P8_9BACL/8-65	A0A094K9P8_9BACL/8-65 A0A094K9P8.1 PF03745.13;DUF309;	sp|P17617|YPUF_BACSU	sp|P17617|YPUF_BACSU Uncharacterized protein YpuF OS=Bacillus subtilis (strain 168) GN=ypuF PE=4 SV=1
fake_2M_genome_001380	gi|337747170|ref|YP_004641332.1|	gi|337747170|ref|YP_004641332.1| hypothetical protein KNP414_02904 [Paenibacillus mucilaginosus KNP414]	GO:0016020(membrane);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0016020(membrane)	A0A0N0HAS0_THEVU/42-189	A0A0N0HAS0_THEVU/42-189 A0A0N0HAS0.1 PF02698.16;DUF218;	sp|P42598|YGJQ_ECOLI	sp|P42598|YGJQ_ECOLI Uncharacterized protein YgjQ OS=Escherichia coli (strain K12) GN=ygjQ PE=4 SV=1
fake_2M_genome_001381	gi|226311753|ref|YP_002771647.1|	gi|226311753|ref|YP_002771647.1| hypothetical protein BBR47_21660 [Brevibacillus brevis NBRC 100599]	-	F5SJ84_9BACL/7-109	F5SJ84_9BACL/7-109 F5SJ84.1 PF01521.19;Fe-S_biosyn;	-	-
fake_2M_genome_001382	gi|30263597|ref|NP_845974.1|	gi|30263597|ref|NP_845974.1| urocanate hydratase [Bacillus anthracis str. Ames]	GO:0016153(urocanate hydratase activity);GO:0019556(histidine catabolic process to glutamate and formamide);GO:0005737(cytoplasm);GO:0005737(cytoplasm);GO:0016153(urocanate hydratase activity)	A0A094JTT4_9BACL/137-345	A0A094JTT4_9BACL/137-345 A0A094JTT4.1 PF01175.17;Urocanase;	sp|B7ISJ1|HUTU_BACC2	sp|B7ISJ1|HUTU_BACC2 Urocanate hydratase OS=Bacillus cereus (strain G9842) GN=hutU PE=3 SV=1
fake_2M_genome_001383	gi|375008359|ref|YP_004981992.1|	gi|375008359|ref|YP_004981992.1| imidazolonepropionase [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0019556(histidine catabolic process to glutamate and formamide);GO:0050480(imidazolonepropionase activity);GO:0005737(cytoplasm);GO:0005737(cytoplasm);GO:0005737(cytoplasm)	A0A094M1M7_9BACL/78-419	A0A094M1M7_9BACL/78-419 A0A094M1M7.1 PF01979.19;Amidohydro_1;	sp|Q5L083|HUTI_GEOKA	sp|Q5L083|HUTI_GEOKA Imidazolonepropionase OS=Geobacillus kaustophilus (strain HTA426) GN=hutI PE=3 SV=1
fake_2M_genome_001384	gi|15614548|ref|NP_242851.1|	gi|15614548|ref|NP_242851.1| formimidoylglutamase [Bacillus halodurans C-125]	GO:0050415(formimidoylglutamase activity);GO:0006547(histidine metabolic process);GO:0016813(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines);GO:0019556(histidine catabolic process to glutamate and formamide)	A0A094JQK2_9BACL/38-320	A0A094JQK2_9BACL/38-320 A0A094JQK2.1 PF00491.20;Arginase;	sp|Q9KBE3|HUTG_BACHD	sp|Q9KBE3|HUTG_BACHD Formimidoylglutamase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=hutG PE=3 SV=1
fake_2M_genome_001385	gi|212638327|ref|YP_002314847.1|	gi|212638327|ref|YP_002314847.1| thiol peroxidase [Anoxybacillus flavithermus WK1]	GO:0051920(peroxiredoxin activity);GO:0004601(peroxidase activity);GO:0005623(cell);GO:0008379(thioredoxin peroxidase activity)	A0A094K9P4_9BACL/26-166	A0A094K9P4_9BACL/26-166 A0A094K9P4.1 PF08534.9;Redoxin;	sp|Q9K813|TPX_BACHD	sp|Q9K813|TPX_BACHD Probable thiol peroxidase OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) GN=tpx PE=3 SV=1
fake_2M_genome_001386	gi|337750933|ref|YP_004645095.1|	gi|337750933|ref|YP_004645095.1| 2'-5' RNA ligase [Paenibacillus mucilaginosus KNP414]	GO:0004113(2',3'-cyclic-nucleotide 3'-phosphodiesterase activity);GO:0016787(hydrolase activity)	A0A094JNC9_9BACL/11-95	A0A094JNC9_9BACL/11-95 A0A094JNC9.1 PF02834.15;LigT_PEase;	sp|Q45633|THPR_GEOSE	sp|Q45633|THPR_GEOSE RNA 2',3'-cyclic phosphodiesterase OS=Geobacillus stearothermophilus PE=3 SV=1
fake_2M_genome_001387	gi|295695025|ref|YP_003588263.1|	gi|295695025|ref|YP_003588263.1| thiamine biosynthesis protein ThiC [Kyrpidia tusciae DSM 2912]	GO:0009229(thiamine diphosphate biosynthetic process);GO:0005829(cytosol);GO:0009228(thiamine biosynthetic process);GO:0009228(thiamine biosynthetic process)	A0A094JTT0_9BACL/150-571	A0A094JTT0_9BACL/150-571 A0A094JTT0.1 PF01964.17;ThiC_Rad_SAM;	sp|P45740|THIC_BACSU	sp|P45740|THIC_BACSU Phosphomethylpyrimidine synthase OS=Bacillus subtilis (strain 168) GN=thiC PE=1 SV=3
fake_2M_genome_001388	gi|317121356|ref|YP_004101359.1|	gi|317121356|ref|YP_004101359.1| ABC transporter [Thermaerobacter marianensis DSM 12885]	GO:0005886(plasma membrane);GO:0006810(transport);GO:0006810(transport);GO:0006869(lipid transport);GO:0055085(transmembrane transport);GO:0000166(nucleotide binding);GO:0005215(transporter activity);GO:0005743(mitochondrial inner membrane)	A0A094M1M2_9BACL/31-183	A0A094M1M2_9BACL/31-183 A0A094M1M2.1 PF00005.26;ABC_tran;	sp|Q8K440|ABC8B_MOUSE	sp|Q8K440|ABC8B_MOUSE ATP-binding cassette sub-family A member 8-B OS=Mus musculus GN=Abca8b PE=1 SV=2
fake_2M_genome_001389	-	-	-	A0A0N0H908_THEVU/20-88	A0A0N0H908_THEVU/20-88 A0A0N0H908.1 PF00575.22;S1;	-	-
fake_2M_genome_001390	-	-	-	-	-	-	-
fake_2M_genome_001391	gi|226313783|ref|YP_002773677.1|	gi|226313783|ref|YP_002773677.1| aconitate hydratase [Brevibacillus brevis NBRC 100599]	GO:0003994(aconitate hydratase activity);GO:0003994(aconitate hydratase activity);GO:0006099(tricarboxylic acid cycle);GO:0008152(metabolic process);GO:0043937(regulation of sporulation);GO:0043937(regulation of sporulation);GO:0047456(2-methylisocitrate dehydratase activity);GO:0003723(RNA binding);GO:0003729(mRNA binding);GO:0003994(aconitate hydratase activity)	A0A094K9N9_9BACL/57-568	A0A094K9N9_9BACL/57-568 A0A094K9N9.1 PF00330.19;Aconitase;	sp|P09339|ACNA_BACSU	sp|P09339|ACNA_BACSU Aconitate hydratase A OS=Bacillus subtilis (strain 168) GN=citB PE=1 SV=4
fake_2M_genome_001392	gi|226313790|ref|YP_002773684.1|	gi|226313790|ref|YP_002773684.1| transcriptional regulator [Brevibacillus brevis NBRC 100599]	GO:0003700(DNA binding transcription factor activity);GO:0003700(DNA binding transcription factor activity);GO:0005515(protein binding);GO:0005829(cytosol);GO:0003677(DNA binding);GO:0003677(DNA binding);GO:0003677(DNA binding)	A0A094JNC4_9BACL/124-245	A0A094JNC4_9BACL/124-245 A0A094JNC4.1 PF01614.17;IclR;	sp|P76268|KDGR_ECOLI	sp|P76268|KDGR_ECOLI Transcriptional regulator KdgR OS=Escherichia coli (strain K12) GN=kdgR PE=1 SV=1
fake_2M_genome_001393	gi|16080683|ref|NP_391511.1|	gi|16080683|ref|NP_391511.1| HTH-type transcriptional repressor GlcR [Bacillus subtilis subsp. subtilis str. 168]	GO:0003677(DNA binding);GO:0003700(DNA binding transcription factor activity)	A0A094JTS5_9BACL/74-214	A0A094JTS5_9BACL/74-214 A0A094JTS5.1 PF00455.21;DeoRC;	sp|P94591|GLCR_BACSU	sp|P94591|GLCR_BACSU HTH-type transcriptional repressor GlcR OS=Bacillus subtilis (strain 168) GN=glcR PE=1 SV=2
fake_2M_genome_001394	gi|384135774|ref|YP_005518488.1|	gi|384135774|ref|YP_005518488.1| radical SAM protein [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]	GO:0003824(catalytic activity);GO:0008616(queuosine biosynthetic process)	A0A0N0Y8T6_THEVU/35-226	A0A0N0Y8T6_THEVU/35-226 A0A0N0Y8T6.1 PF04055.20;Radical_SAM;	sp|Q97D55|QUEE_CLOAB	sp|Q97D55|QUEE_CLOAB 7-carboxy-7-deazaguanine synthase OS=Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787) GN=queE PE=3 SV=1
fake_2M_genome_001395	gi|23097767|ref|NP_691233.1|	gi|23097767|ref|NP_691233.1| transcriptional regulator [Oceanobacillus iheyensis HTE831]	GO:0000166(nucleotide binding)	A0A094JJI4_9BACL/4-215	A0A094JJI4_9BACL/4-215 A0A094JJI4.1 PF06508.12;QueC;	sp|Q8ETE9|QUEC_OCEIH	sp|Q8ETE9|QUEC_OCEIH 7-cyano-7-deazaguanine synthase OS=Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831) GN=queC PE=3 SV=1
fake_2M_genome_001396	gi|23100259|ref|NP_693726.1|	gi|23100259|ref|NP_693726.1| 6-pyruvoyl tetrahydrobiopterin synthase [Oceanobacillus iheyensis HTE831]	GO:0008616(queuosine biosynthetic process)	A0A094JPZ1_9BACL/6-128	A0A094JPZ1_9BACL/6-128 A0A094JPZ1.1 PF01242.18;PTPS;	sp|O31676|QUED_BACSU	sp|O31676|QUED_BACSU 6-carboxy-5,6,7,8-tetrahydropterin synthase OS=Bacillus subtilis (strain 168) GN=queD PE=1 SV=2
fake_2M_genome_001397	gi|433655667|ref|YP_007299375.1|	gi|433655667|ref|YP_007299375.1| 7-cyano-7-deazaguanine reductase [Thermoanaerobacterium thermosaccharolyticum M0795]	GO:0008616(queuosine biosynthetic process);GO:0033739(preQ1 synthase activity);GO:0005737(cytoplasm);GO:0005737(cytoplasm);GO:0005737(cytoplasm)	A0A0N0Y6W8_THEVU/59-139	A0A0N0Y6W8_THEVU/59-139 A0A0N0Y6W8.1 PF14489.5;QueF;	sp|Q5L1B7|QUEF_GEOKA	sp|Q5L1B7|QUEF_GEOKA NADPH-dependent 7-cyano-7-deazaguanine reductase OS=Geobacillus kaustophilus (strain HTA426) GN=queF PE=1 SV=1
fake_2M_genome_001398	-	-	-	A0A094JLP4_9BACL/9-146	A0A094JLP4_9BACL/9-146 A0A094JLP4.1 PF06491.10;Disulph_isomer;	sp|Q8EQ52|Y1863_OCEIH	sp|Q8EQ52|Y1863_OCEIH UPF0403 protein OB1863 OS=Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831) GN=OB1863 PE=3 SV=1
fake_2M_genome_001399	gi|337750265|ref|YP_004644427.1|	gi|337750265|ref|YP_004644427.1| hypothetical protein KNP414_06033 [Paenibacillus mucilaginosus KNP414]	-	-	-	-	-
fake_2M_genome_001400	gi|226312886|ref|YP_002772780.1|	gi|226312886|ref|YP_002772780.1| hypothetical protein BBR47_32990 [Brevibacillus brevis NBRC 100599]	-	A0A094JJI1_9BACL/13-236	A0A094JJI1_9BACL/13-236 A0A094JJI1.1 PF00756.19;Esterase;	sp|O31630|YJCH_BACSU	sp|O31630|YJCH_BACSU Uncharacterized protein YjcH OS=Bacillus subtilis (strain 168) GN=yjcH PE=4 SV=1
fake_2M_genome_001401	gi|148379748|ref|YP_001254289.1|	gi|148379748|ref|YP_001254289.1| hypothetical protein CBO1788 [Clostridium botulinum A str. ATCC 3502]	-	B1BDW9_CLOBO/57-242	B1BDW9_CLOBO/57-242 B1BDW9.1 PF07670.13;Gate;	sp|P30267|Y2044_BACPE	sp|P30267|Y2044_BACPE Uncharacterized protein BpOF4_10220 OS=Bacillus pseudofirmus (strain OF4) GN=BpOF4_10220 PE=4 SV=1
fake_2M_genome_001402	gi|386714466|ref|YP_006180789.1|	gi|386714466|ref|YP_006180789.1| acetoacetyl-CoA synthase [Halobacillus halophilus DSM 2266]	GO:0000166(nucleotide binding);GO:0003824(catalytic activity);GO:0003987(acetate-CoA ligase activity)	A0A094LXV3_9BACL/94-524	A0A094LXV3_9BACL/94-524 A0A094LXV3.1 PF00501.27;AMP-binding;	sp|O93730|ACSA_PYRAE	sp|O93730|ACSA_PYRAE Acetyl-coenzyme A synthetase OS=Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827) GN=acsA PE=3 SV=2
fake_2M_genome_001403	gi|295695629|ref|YP_003588867.1|	gi|295695629|ref|YP_003588867.1| FliA/WhiG subfamily RNA polymerase sigma-28 subunit [Kyrpidia tusciae DSM 2912]	GO:0003677(DNA binding);GO:0003677(DNA binding);GO:0005737(cytoplasm)	A0A0N0HB06_THEVU/27-98	A0A0N0HB06_THEVU/27-98 A0A0N0HB06.1 PF04542.13;Sigma70_r2;	sp|P0DO98|SIGI_BACAN	sp|P0DO98|SIGI_BACAN RNA polymerase sigma factor SigI OS=Bacillus anthracis GN=sigI PE=2 SV=1
fake_2M_genome_001404	-	-	GO:0005886(plasma membrane);GO:0005886(plasma membrane);GO:0005975(carbohydrate metabolic process)	A0A094K5W3_9BACL/7-62	A0A094K5W3_9BACL/7-62 A0A094K5W3.1 PF12791.6;RsgI_N;	sp|A3DBH1|RSGI1_CLOTH	sp|A3DBH1|RSGI1_CLOTH Anti-sigma-I factor RsgI1 OS=Clostridium thermocellum (strain ATCC 27405 / DSM 1237 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) GN=rsgI1 PE=1 SV=1
